"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","aspect","time_since","burnsev","count_v2","prop_area","area_ha","strata_nm","grove_name","grovearea_ha","unit_name","grove","Ease.of.Access","geometry"
"71","Site-046","Base","None",-118.706958351444,36.3009543283964,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115969.265720452, -189884.173456377)
"72","Site-049","Base","None",-118.70500823319,36.294198834966,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116154.409046081, -190632.421298613)
"73","Site-053","Over","Next",-118.704411844581,36.3091032516164,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116185.266267019, -188975.586790804)
"74","Site-054","Over","Next",-118.720815303909,36.2953340598121,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(114734.976882921, -190525.528749722)
"75","Site-057","Over","Next",-118.695147175268,36.3075577108161,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117018.411232352, -189135.925614141)
"76","Site-058","Over","Next",-118.70745140249,36.312503717717,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115907.551278575, -188601.462869686)
"77","Site-062","Over","Next",-118.706416674712,36.2922903496913,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116030.980162328, -190846.206396395)
"78","Site-065","Over","Next",-118.698137159516,36.313843861827,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(116740.696243908, -188441.12404635)
"79","Site-069","Over","Next",-118.692279776018,36.3142598047707,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(117265.268999858, -188387.677771904)
"80","Site-070","Over","Next",-118.7173566827,36.3169412459015,"None",131936.425372129,0.000007579408015,"None","SE_W","under5","Low","one",0.12,646.48848432343,"SE_W-under5-Low-one","Dillonwood",603.264033592523,"Sequoia and Kings Canyon National Parks","Dillonwood","Difficult",c(115012.691871366, -188120.446399677)
